EHST0100,LM:2023/11/25 13:55:35:919,FD:00001,LD:00185,RC:00185,MC:05000,TO:00000,             
00001,01126,                                                                ,00000,0000,2023/11/22 10:01:52:780,000,00000,0000000000,0067109107,0000000036,   
00002,00001,                                                                ,00000,0000,2023/11/22 10:01:52:790,000,00000,0000000000,0000000001,0010040400,   
00003,00502,                                                                ,00000,0000,2023/11/22 10:01:54:220,000,00000,0000000000,0000000000,0000000000,   
00004,01104,                                                                ,00000,0000,2023/11/22 10:01:56:634,000,00000,0000000000,0000000012,0000000000,   
00005,00120,                                                                ,00000,0000,2023/11/22 10:01:57:683,000,00000,0000000000,0000000001,0000000000,   
00006,00127,                                                                ,00000,0000,2023/11/22 10:01:58:507,000,00000,0000000000,0000000000,0000000000,   
00007,01104,                                                                ,00000,0000,2023/11/22 10:02:01:003,000,00000,0000000000,0000000016,0000000000,   
00008,01104,                                                                ,00000,0000,2023/11/22 10:02:07:525,000,00000,0000000000,0000000016,0000000000,   
00009,02000,                                                                ,00000,E3CF,2023/11/22 10:02:11:877,000,00000,0000000000,0000058319,0000000000,   
00010,00003,                                                                ,00000,0000,2023/11/22 10:07:48:081,000,00000,0000000000,0000000000,0000000000,   
00011,00001,                                                                ,00000,0000,2023/11/23 07:20:14:135,000,00000,0000000000,0000000001,0010040400,   
00012,01104,                                                                ,00000,0000,2023/11/23 07:20:21:303,000,00000,0000000000,0000000012,0000000000,   
00013,00120,                                                                ,00000,0000,2023/11/23 07:20:21:367,000,00000,0000000000,0000000001,0000000000,   
00014,00127,                                                                ,00000,0000,2023/11/23 07:20:23:313,000,00000,0000000000,0000000000,0000000000,   
00015,01104,                                                                ,00000,0000,2023/11/23 07:20:23:930,000,00000,0000000000,0000000016,0000000000,   
00016,00126,                                                                ,00000,0000,2023/11/23 08:05:14:171,000,00000,0000000000,0000000000,0000000000,   
00017,00123,                                                                ,00000,0000,2023/11/23 08:05:14:172,000,00000,0000000000,0000000000,0000000000,   
00018,00003,                                                                ,00000,0000,2023/11/23 08:05:17:730,000,00000,0000000000,0000000000,0000000000,   
00019,00001,                                                                ,00000,0000,2023/11/23 08:24:54:411,000,00000,0000000000,0000000001,0010040400,   
00020,00120,                                                                ,00000,0000,2023/11/23 08:25:00:526,000,00000,0000000000,0000000001,0000000000,   
00021,00127,                                                                ,00000,0000,2023/11/23 08:25:02:174,000,00000,0000000000,0000000000,0000000000,   
00022,00126,                                                                ,00000,0000,2023/11/23 08:37:15:165,000,00000,0000000000,0000000000,0000000000,   
